harness_name,wire_type,sequence,x,y,description
SAMPLE_HARNESS,POWER,1,5,5,Main power positive (+12V)
SAMPLE_HARNESS,POWER,2,5,10,Main power negative (GND)
SAMPLE_HARNESS,POWER,3,10,5,Secondary power positive (+5V)
SAMPLE_HARNESS,POWER,4,10,10,Secondary power negative (GND)
SAMPLE_HARNESS,SIGNAL,1,20,20,CAN High
SAMPLE_HARNESS,SIGNAL,2,20,25,CAN Low
SAMPLE_HARNESS,SIGNAL,3,25,20,LIN Bus
SAMPLE_HARNESS,SIGNAL,4,25,25,UART TX
SAMPLE_HARNESS,SIGNAL,5,30,20,UART RX
SAMPLE_HARNESS,GROUND,1,55,55,Chassis ground
SAMPLE_HARNESS,GROUND,2,55,60,Signal ground
SAMPLE_HARNESS,GROUND,3,60,55,Shield ground
